item,event_name,distribution_method,start_date,end_date,region,notes
bottle-cap,Galar Newcomers & 2020 International Challenge February,,09/01/2020,30/03/2020,All,
bottle-cap,Jump Festa 2017 Bottle Cap,,17/12/2016,18/12/2016,Japan,
bottle-cap,Summer training support sets,,22/07/2023,30/09/2023,Japan,
bottle-cap,Sun & Moon TCG Bottle Cap,,13/02/2017,13/05/2017,All,
bottle-cap,The Hidden Treasure of Area Zero guide book's Nurturing Support Set,,15/03/2024,30/04/2026,All,
brick-mail,GTS Event Heracross,,,,,Obtained held by an event Heracross in Diamond and Pearl.
bright-powder,Ancient & Aliens Week Sableye,,14/08/2004,20/08/2004,United States,Held item
bright-powder,Strongest Class Garchomp,,24/02/2013,05/05/2013,Korea,Held item
bright-powder,Strongest Class Single Battle Garchomp,,15/09/2012,28/10/2012,Japan,Held item
bug-gem,Summer 2011 Karrablast,,,,Various,Held by event Pokémon
bug-gem,Summer 2011 Shelmet,,,,Various,Held by event Pokémon
bug-gem,Trade for Evolution! Karrablast and Shelmet,,10/10/2010,28/11/2010,Japan,Held by event Pokémon
bug-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
bug-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
bug-tera-shard,Shiny Treasures of Ruin Tera Shards,,08/08/2025,30/09/2025,All,
butter,Pokémon Battle Beginner's Manual sandwich ingredients,,22/07/2023,30/09/2023,Japan,
calcium,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
calcium,Summer training support sets,,22/07/2023,30/09/2023,Japan,
cameruptite,Maxie's Camerupt,,,,Japan,Distributed as a held item
cameruptite,Third Mega Stone Gift,,23/06/2017,31/10/2017,All,
carbos,After School Pokémon Research Club Carbos,,23/02/2023,31/03/2023,All,
carbos,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
carbos,Summer training support sets,,22/07/2023,30/09/2023,Japan,
casteliacone,7-Eleven Casteliacone,,18/12/2017,31/03/2018,Japan,
casteliacone,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
casteliacone,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
charcoal,Battle Series 2009 Arcanine,,06/06/2009,07/06/2009,Korea,Held item
charcoal,Pikachu Cafe Magmortar,,29/06/2008,29/06/2008,Korea,Held item
charcoal,Strongest Magmortar,,01/12/2007,14/12/2007,Japan,Held item
charizardite-x,2016 Pokémon World Championships Charmander,Event,19/08/2016,21/08/2016,United States,Held item
charizardite-x,CoroCoro Charizard,Event,15/03/2014,29/08/2014,Japan,Held item
charizardite-y,CoroCoro Charizard,,15/03/2014,29/08/2014,Japan,Held item on event Charizard
charti-berry,Pokémon Adventure Camp Fossil Anorith,,21/07/2012,30/09/2013,Japan,Held by Anorith
charti-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
cheese,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
cheri-berry,Berry Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
cherry-tomatoes,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
chesto-berry,Berry Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
chilan-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
chili-sauce,Poké Times Sandwich Ingredients,,,,All,"Distribution period listed as December 12–17 to 18, 2022."
chipped-pot,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
choice-band,CoroCoro Rockruff Enhancement items,,15/12/2016,14/02/2017,Japan,
choice-scarf,CoroCoro Rockruff Enhancement items,,15/12/2016,14/02/2017,Japan,
choice-scarf,Summer training support sets,,22/07/2023,30/09/2023,Japan,
choice-specs,Shin Yeo-myeong's Flutter Mane,,05/05/2024,07/05/2024,all,Held item
choice-specs,Tomoya Ogawa's Sylveon,,16/08/2024,19/08/2024,all,Held item
chople-berry,Pokémon Adventure Camp Fossil Kabuto,,21/07/2012,30/09/2013,Japanese,Held item
chople-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
chople-berry,Video Game Championships 2012 Larvitar,,,,English,Held item
chorizo,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
clear-amulet,Summer training support sets,,22/07/2023,30/09/2023,Japan,
clover-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
coba-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
colbur-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
comet-shard,A Treasure Journey item set,,21/09/2024,30/11/2024,All,
comet-shard,Poké Times Wish Items,,06/01/2023,15/01/2023,All,
comet-shard,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
covert-cloak,Marco Silva's Jumpluff,,21/02/2025,25/02/2025,All,Distributed as a held item
cracked-pot,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
cream-cheese,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
cucumber,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
curry-powder,Poké Times Sandwich Ingredients,,,,All,December 2022 distribution
